nome,preco,imagem,status,categoria_principal,subcategoria,special,Codigo
Funko Pop! Marvel Capitão America / Captain America 450 Exclusivo Glow,"R$ 309,90",https://cdn.awsli.com.br/800x800/84/84034/produto/213582882/dswer-kaqiqrtehi.png,disponivel,Heróis/Vilões,Capitão América,Exclusivo | Glow,AA2230V73
Funko Pop! Rocks Jon Bon Jovi 396,"R$ 194,90",https://cdn.awsli.com.br/800x800/84/84034/produto/269737904/funko-pop-rocks-jon-bon-jovi-396-bf-n6374zje9f.png,disponivel,Música,#NAME?,,AA2657T88
Funko Pop! Animation Bakugan Skyress 968,"R$ 264,90",https://cdn.awsli.com.br/800x800/84/84034/produto/114976238/funko-pop--anima-a0vjph7a98.jpg,disponivel,Animes,Bakugan,,AA3737N24
Funko Pop! Football NFL Bears Walter Payton 78 Exclusivo,"R$ 159,90",https://cdn.awsli.com.br/800x800/84/84034/produto/237789988/funko-pop--walter-payton-78-aa-800-aqq6l487zl.jpg,disponivel,Esporte,Futebol Americano NFL,Exclusivo,AA3914X26
Funko Pop! Animation Mestres Do Universo She-Ra & Kowl 1800 Exclusivo,"R$ 229,90",https://cdn.awsli.com.br/800x800/84/84034/produto/330515917/budd-b-1--800-r2wuot8yfv.jpg,disponivel,Filmes e Séries,Mestres do Universo,Exclusivo,AA4271K20
Funko Pop! Marvel Deadpool Lady Deadpool 549 Exclusivo,"R$ 389,90",https://cdn.awsli.com.br/800x800/84/84034/produto/153391921/lady-deadpool-funko-3-w4ca14d2p1.png,disponivel,Heróis/Vilões,Deadpool,Exclusivo,AA4934E97
Funko Pop! DC Comics Batman 05 Exclusivo,"R$ 389,90",https://cdn.awsli.com.br/800x800/84/84034/produto/140766979/batman-05-c-800-m0c62cybks.jpg,disponivel,Heróis/Vilões,Batman,Exclusivo,AA6037I36
Funko Pop! Sanrio Hello Kitty Cinnamoroll 67 Exclusivo,"R$ 389,90",https://cdn.awsli.com.br/800x800/84/84034/produto/225203732/cinnamoroll-with-hat-c-1--800-nbo6f1sovy.jpg,disponivel,Disney,Hello Kitty,Exclusivo,AA6631B35
Funko Pop! Television Star Wars Jar Jar Binks 500 Exclusivo,"R$ 309,90",https://cdn.awsli.com.br/800x800/84/84034/produto/161196586/funko-pop--star-wars-jar-jar-binks-500-exclusivo-c-1--800-yrlnmkc4vp.jpg,disponivel,Filmes e Séries,Star Wars,Exclusivo,AA7184R34
Funko Pop! Comic Covers Lanterna Verde Green Lantern And Batman 271,"R$ 299,90",https://cdn.awsli.com.br/800x800/84/84034/produto/381964432/funko-pop-green-lantern-batman-271-x-z7brw5yor6.png,disponivel,Heróis/Vilões,Lanterna Verde,,AA7270I15
Funko Pop! Disney Doug Funnie 410,"R$ 399,90",https://cdn.awsli.com.br/800x800/84/84034/produto/183725107/funko-pop--disney-doug-funnie-410-c-800-sdonrderdr.jpg,disponivel,Disney,Doug,,AA9390U90
Funko Pop! Television Dungeons & Dragons Stranger Things Vecna 2 Pack Exclusivo,"R$ 799,90",https://cdn.awsli.com.br/800x800/84/84034/produto/180539817/funko-pop--television-dungeons---dragons-stranger-things-vecna-2-pack-exclusivo-zonr2eqotp.jpg,disponivel,Animes,Dungeons & Dragons,Exclusivo,AA9571R12
