"variant_id","product_id","Codigo","nome","preco","imagem","status","variant_status","source","categoria_principal","subcategoria","franquia","fornecedor","special","special_tags","tipo","condicao","market_price","estimated_cost","slug"
"1dedc2b0-8343-4766-a53d-e5f6c9923a85","264b63e9-f390-4af4-bdcb-3fd2344c33c6","19411","Pdv Sacola Piticas M 100 Unid","264,90","https://b2b.clubecomix.com.br/foto_catalogo_web.php?reg_empresa=1&arquivo=19411_detail.jpg","active","order_only","national","Outros","","Geral","Piticas","","","common","new","","","pdv-sacola-piticas-m-100-unid-19411"
"42dec46e-241d-4aa7-8dfb-ce2a785b9b73","272ba9bc-8206-416c-bc96-e681a19392cd","94739","Combo Camiseta Star Wars Grogu + Livro","284,90","https://b2b.clubecomix.com.br/foto_catalogo_web.php?reg_empresa=1&arquivo=94739_media.jpg","active","order_only","national","Camisetas","","Camiseta + livro","Piticas","","","common","new","","","combo-camiseta-star-wars-grogu-livro-94739"
"56f2cea5-add5-4f87-917f-edce5a117cfe","596000bd-7a81-4e4d-89a3-a35a43e9995d","95075","Combo Camiseta Infantil Spider Man Ii + Livro","374,90","https://b2b.clubecomix.com.br/foto_catalogo_web.php?reg_empresa=1&arquivo=95075_media.png","active","order_only","national","Camisetas","","Infantil + livro","Piticas","","","common","new","","","combo-camiseta-infantil-spider-man-ii-livro-95075"
"c6d82a58-5f9a-47ab-a55d-f377faea2cb6","18c67e93-9c07-46fc-b24b-7bd2d1de7bf1","95087","Combo Camiseta Infantil Grogu + Livro","374,90","https://b2b.clubecomix.com.br/foto_catalogo_web.php?reg_empresa=1&arquivo=95087_media.png","active","order_only","national","Camisetas","","Infantil + livro","Piticas","","","common","new","","","combo-camiseta-infantil-grogu-livro-95087"
"5b29dc86-a321-4b63-bca4-aa4c2119f2b1","82cac9db-de86-44a8-aa08-392fe0628f5c","95088","Combo Camiseta Infantil Go Ninja Go + Livro","374,90","https://b2b.clubecomix.com.br/foto_catalogo_web.php?reg_empresa=1&arquivo=95088_detail.png","active","order_only","national","Camisetas","","Infantil + livro","Piticas","","","common","new","","","combo-camiseta-infantil-go-ninja-go-livro-95088"
"126991df-eada-4bd7-b74b-be22c6b6e721","cff06d45-fd11-4fbf-a9c1-674526409afa","95098","Combo Camiseta Infantil Star Wars Grogu + Livro","244,90","https://b2b.clubecomix.com.br/foto_catalogo_web.php?reg_empresa=1&arquivo=95098_media.png","active","order_only","national","Camisetas","","Infantil + livro","Piticas","","","common","new","","","combo-camiseta-infantil-star-wars-grogu-livro-95098"
"f6ad5d59-50b7-4714-8749-c6163095dc24","9c48d1e8-e9ab-4a13-a70e-29545874e6ae","95510","Combo Garrafa Squeeze Star Wars Droids + Livro - Ref. 95502","39,90","https://b2b.clubecomix.com.br/foto_catalogo_web.php?reg_empresa=1&arquivo=95510_detail.png","active","order_only","national","Garrafas e Copos","","Garrafa/Squeeze + livro","Piticas","","","common","new","","","combo-garrafa-squeeze-star-wars-droids-livro-ref-95502-95510"
"f1167a9e-3422-402d-8f85-cd183be97bfc","b25392bb-0622-4bd7-a579-7c1c7f1a62f1","95511","Combo Garrafa Squeeze Marvel Comics + Livro - Ref. 95504","39,90","https://b2b.clubecomix.com.br/foto_catalogo_web.php?reg_empresa=1&arquivo=95511_detail.png","active","order_only","national","Garrafas e Copos","","Garrafa/Squeeze + livro","Piticas","","","common","new","","","combo-garrafa-squeeze-marvel-comics-livro-ref-95504-95511"
"68963bc5-fc37-4ea9-8f7b-c56c5aecd88b","ae2f5784-7543-4c74-a643-3e9692bae665","95512","Combo Garrafa Squeeze Dc Comics Logo + Livro - Ref. 95506","39,90","https://b2b.clubecomix.com.br/foto_catalogo_web.php?reg_empresa=1&arquivo=95512_detail.png","active","order_only","national","Garrafas e Copos","","Garrafa/Squeeze + livro","Piticas","","","common","new","","","combo-garrafa-squeeze-dc-comics-logo-livro-ref-95506-95512"
"5eff5116-daaa-43ef-8cf5-d7b5843bb949","e5fa2c45-3428-4f1f-986f-41a9c3954990","95513","Combo Garrafa Squeeze Hp Hogwarts + Livro - Ref. 95509","39,90","https://b2b.clubecomix.com.br/foto_catalogo_web.php?reg_empresa=1&arquivo=95513_detail.png","active","order_only","national","Garrafas e Copos","","Garrafa/Squeeze + livro","Piticas","","","common","new","","","combo-garrafa-squeeze-hp-hogwarts-livro-ref-95509-95513"
